iter	Logloss
0	0.4067798451
1	0.31058304
2	0.2097254718
3	0.1771786761
4	0.1603620741
5	0.137269037
6	0.1251970613
7	0.1170417262
8	0.1115583452
9	0.1057573759
10	0.1007002952
11	0.09820944785
12	0.09322649369
13	0.09126877804
14	0.08762481214
15	0.08621007859
16	0.08439684134
17	0.0831515515
18	0.08064362201
19	0.07926245533
20	0.07803235008
21	0.07657312458
22	0.07539619577
23	0.0743899276
24	0.07268983973
25	0.07193108326
26	0.07054271435
27	0.07017536266
28	0.06926854771
29	0.06835984257
30	0.06693854449
31	0.06589070691
32	0.06483580125
33	0.06407091865
34	0.06324530597
35	0.06278922506
36	0.06146046339
37	0.06110849986
38	0.06088487883
39	0.06041390262
40	0.06018957321
41	0.05987347922
42	0.0593080067
43	0.058843412
44	0.05851360288
45	0.05832997586
46	0.05769197226
47	0.0570164482
48	0.05667046063
49	0.05621690058
50	0.05575826965
51	0.0553122638
52	0.05487890344
53	0.05453302951
54	0.05413494662
55	0.05360492059
56	0.05319037547
57	0.05272249521
58	0.05254506559
59	0.05246102956
60	0.05224354644
61	0.05195032341
62	0.05171809005
63	0.0514789231
64	0.0511064959
65	0.05039130888
66	0.05007447625
67	0.04989007089
68	0.04962693263
69	0.04933933155
70	0.04908810985
71	0.04888513079
72	0.04881442378
73	0.04844924808
74	0.04826922302
75	0.04795518555
76	0.04776145466
77	0.04750801898
78	0.04737244019
79	0.04719249554
80	0.0468205244
81	0.04665798102
82	0.0465654679
83	0.0463124432
84	0.04626272091
85	0.04613767126
86	0.04601080226
87	0.04579095472
88	0.04568427626
89	0.04551821677
90	0.04543304195
91	0.04522710414
92	0.04512816702
93	0.04498669905
94	0.04478849226
95	0.04464702172
96	0.04449872994
97	0.04434828667
98	0.04423992218
99	0.04386862185
100	0.04378113074
101	0.04357168745
102	0.04332412917
103	0.0432346507
104	0.04316728079
105	0.04299521036
106	0.04292498648
107	0.04281761254
108	0.04263522244
109	0.04247309623
110	0.04237886155
111	0.04230024182
112	0.04222669464
113	0.04216277287
114	0.04202471998
115	0.04189027827
116	0.04185821416
117	0.04177665282
118	0.04167258945
119	0.04157367805
120	0.04148746101
121	0.04132617062
122	0.04126336842
123	0.04122060304
124	0.04117083566
125	0.04111967238
126	0.04105157879
127	0.04097489417
128	0.04083273979
129	0.04077257401
130	0.04067087948
131	0.04061835831
132	0.04057554382
133	0.04050503104
134	0.04041751956
135	0.04032287212
136	0.04021462021
137	0.04014991501
138	0.04007378305
139	0.03981837366
140	0.03976558893
141	0.03962656782
142	0.03952902831
143	0.03945865642
144	0.03936071112
145	0.0392502535
146	0.03920465763
147	0.03916543808
148	0.03912851815
149	0.03906384348
150	0.03901605775
151	0.03895657952
152	0.03871751761
153	0.03864621797
154	0.03850039992
155	0.03844068154
156	0.03837583923
157	0.03832898325
158	0.03825552635
159	0.03818925911
160	0.03815297255
161	0.03811111896
162	0.03808122757
163	0.03800067902
164	0.03795861558
165	0.03791976849
166	0.03783421328
167	0.03778832515
168	0.03775071331
169	0.0376874108
170	0.03763871948
171	0.0375944271
172	0.03755027146
173	0.03752227624
174	0.0374688463
175	0.03744019622
176	0.03740178353
177	0.0373274784
178	0.03726091914
179	0.03717657957
180	0.03706504364
181	0.03701706237
182	0.03698748223
183	0.03695801156
184	0.03692334938
185	0.03681923938
186	0.03677711785
187	0.03672628669
188	0.03666148032
189	0.03661970615
190	0.0365630386
191	0.03652852772
192	0.03649023187
193	0.03643111353
194	0.03640770336
195	0.03635648505
196	0.03631656464
197	0.03628902654
198	0.0362477181
199	0.03620590606
